2022-11-10 22:31:07,009 [main] INFO  marytts.R 1 Next module: JPhonemiser
2022-11-10 22:31:07,012 [main] INFO  marytts.R 1 Next module: Prosody
2022-11-10 22:31:07,018 [main] INFO  marytts.R 1 Next module: PronunciationModel
2022-11-10 22:31:07,020 [main] INFO  marytts.R 1 Next module: AcousticModeller
2022-11-10 22:31:07,051 [main] INFO  marytts.ParameterGeneration Parameter generation for LF0: 
2022-11-10 22:31:07,051 [main] INFO  marytts.PStream Global variance optimization
2022-11-10 22:31:07,055 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=6
2022-11-10 22:31:07,062 [main] INFO  marytts.R 1 Next module: Synthesis
2022-11-10 22:31:07,067 [main] INFO  marytts.HMMSynthesizer Synthesizing one sentence.
2022-11-10 22:31:07,069 [main] INFO  marytts.HTSEngine Using prosody from acoustparams.
2022-11-10 22:31:07,070 [main] INFO  marytts.HTSEngine Number of models in sentence numModel=11  Total number of states numState=55
2022-11-10 22:31:07,070 [main] INFO  marytts.HTSEngine Total number of frames=305  Number of voiced frames=206
2022-11-10 22:31:07,074 [main] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2022-11-10 22:31:07,074 [main] INFO  marytts.PStream Global variance optimization
2022-11-10 22:31:07,089 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=24
2022-11-10 22:31:07,123 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=99
2022-11-10 22:31:07,128 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=30
2022-11-10 22:31:07,132 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=2
2022-11-10 22:31:07,137 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=22
2022-11-10 22:31:07,141 [main] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=25
2022-11-10 22:31:07,144 [main] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=18
2022-11-10 22:31:07,145 [main] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=2
2022-11-10 22:31:07,151 [main] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=12
2022-11-10 22:31:07,154 [main] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=15
2022-11-10 22:31:07,155 [main] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=12
2022-11-10 22:31:07,158 [main] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=37
2022-11-10 22:31:07,159 [main] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=2
2022-11-10 22:31:07,161 [main] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=9
2022-11-10 22:31:07,164 [main] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=14
2022-11-10 22:31:07,167 [main] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=14
